Year of Reg,Year,CN-8,Comment,CN-8 product name,Explanation,CF
861/2010,2011,0305 49 20,unchanged,"Atlantic halibut ""Hippoglossus hippoglossus"", smoked, incl. fillets",The same assumption as for 0305 49 10,3.31
861/2010,2011,0305 49 30,unchanged,"Mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus"", smoked, incl. fillets","It is assumed that smoked mackerel is smoked in fillets. Ifremer indicates 20% weightloss and the yield of 60% from filleting. Thus the proposed CF is 2,08 (source: Oceanic Developpement survey). ",2.08
861/2010,2011,0305 49 45,unchanged,"Trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"", smoked, incl. fillets","The IFREMER study mentions a smoking yield of 66% (1,52) after smoking from whole gutted fish. The CF gutted –> whole is 1,13 (see item 03 03 21 90), which leads to a global CF of 1,13 * 1,52 = 1,72 for whole fish. For smoked fillets it is assumed a weight loss of 20%, i.e. a CF of 2,50. It is propose to adopt a mean value between whole trouts and trout fillets, i.e 2,11 (source: Oceanic Developpement survey)",2.11
861/2010,2011,0305 49 50,unchanged,"Eels ""Anguilla spp."", smoked, incl. fillets","In the Oceanic Developpeemnt survey it is assumed that eel is smoked after heading and gutting (CF of 1,10). According to Torry Research Station works, eel loses 15-20% ot its weight during the smoking process. It is proposed a median CF of 1,33.",1.33
861/2010,2011,0305 49 80,unchanged,"Smoked fish, incl. fillets (excl. Pacific salmon, Atlantic salmon, Danube salmon, herrings, lesser or Greenland halibut, Atlantic halibut, mackerel, trout and eels)","It is assumed that the products in this category are mostly fillets (CF 2,65 calculated for CN 0304 20 95). Taking into consideration the weight loss of 20%  during smoking, the proposed CF is 2,65*1,25= 3,31.",3.31
861/2010,2011,0305 51 10,unchanged,"Cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"", dried, unsalted and unsmoked stockfish (excl. fillets)","It is proposed to use the CF 6,53 identified by FAO/Eurostat (source: Oceanic Developpement survey). The same CF is used in Norway.",6.53
861/2010,2011,0305 51 90,unchanged,"Cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"", dried, salted, not smoked klippfish (excl. fillets)","The proposed CF 3,65 is used in Norway for this presentation",3.65
861/2010,2011,0305 59 10,unchanged,"Fish of the species Boreogadus saida, dried, whether or not salted, not smoked stockfish (excl. fillets)",The trade publications shows that the main oart of this item is dried and salted saida. Thus we propose to use CF established for item 0305 59 19 (Still the volumes of this item are marginal in the trade. ,5.40
861/2010,2011,0305 59 30,unchanged,"Herrings ""Clupea harengus, Clupea pallasii"", dried, whether or not salted, not smoked (excl. fillets)","The CF proposed comes from publication n° 17 of Torry Research Station (weight loss of 20%), increased by the CF for the gutted form  (source: Oceanic Developpement survey)",1.46
861/2010,2011,0305 59 50,unchanged,"Anchovies ""Engraulis spp."" dried, whether or not salted, not smoked (excl. fillets)","The proposed CF 3,33 is based on the assumption that anchovies are dried and the average water content is 70%.",3.33
861/2010,2011,0305 59 70,unchanged,"Atlantic Halibut ""Hippoglossus Hippoglossus"", dried, whether or not salted, not smoked (excl. fillets)",Same observation as for CN 0305 56 90 (source: Oceanic Developpement survey),3.65
861/2010,2011,0305 59 80,unchanged,"Fish, dried, whether or not salted, not smoked (excl. cod, fish of the species Boreogadus saida, herrings, anchovies, Atlantic halibut and fillets in general)","The volumes of this product in trade with the EU is marginal. We propose to use the CF 3,19 established for CN 0305 59 90 (source: Oceanic Developpement survey)",3.19
861/2010,2011,0305 61 00,unchanged,"Herrings (Clupea harengus, Clupea pallasii), only salted or in brine (excl. fillets)",Same assumption as for 0305 59 30,1.46
861/2010,2011,0305 62 00,unchanged,"Cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"", salted or in brine only (excl. fillets)","Icelandic trade publications propose CF 49,4% for various salting methods from whole fish. The Torry Research Station report indicates 55%. The proposed CF is an average of these two CFs (source: Oceanic Developpement survey)",1.92
861/2010,2011,0305 63 00,unchanged,"Anchovies ""Engraulis spp."", salted or in brine only (excl. fillets)","As indicated in Oceanic Developpement survey, there are two CF values in FAO/Eurostat publications. The proposed CF is an average of these two.",1.33
861/2010,2011,0305 69 10,unchanged,"Fish of the species Boreogadus saida, salted or in brine only (excl. fillets)",Same assumption as for 0305 62 00,1.92
861/2010,2011,0305 69 30,unchanged,"Atlantic halibut ""Hippoglossus hippoglossus"", salted or in brine only (excl. fillets)","As indicated in Oceanic Developpement survey, this form of presentation is very rare. It is porposed to use the same CF as for 0305 62 00, which supposes a loss of about 50%",1.92
861/2010,2011,0305 69 50,unchanged,"Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"", only salted or in brine (excl. fillets)","IFREMER survey indicates a yield of 75% which has to be corrected with CF from live to gutted weight (1,13), thus CF is 1,51 (source: Oceanic Developpement survey).",1.51
861/2010,2011,0305 69 80,unchanged,"Fish, salted or in brine, but neither dried nor smoked (excl. herrings, cod, anchovies, fish of the species Boreogadus saida, Atlantic halibut, Pacific salmon, Atlantic salmon, Danube salmon and fillets in general)",The proposed CF is an average for 20 different species salted in brine found in FAO/Eurostat publications (source: Oceanic Developpement survey).  ,1.86
861/2010,2011,0306 11 10,unchanged,"Frozen crawfish tails ""Palinurus spp., Panulirus spp., Jasus spp."", whether in shell or not, incl. crawfish tails in their shell, cooked by steaming or by boiling in water","CF values found in FAO/Eurostat publications vary between 2,5 and 3,00.  teh proposed Cf is an average (2,90) ",2.90
861/2010,2011,0306 11 90,unchanged,"Frozen rock lobster and other sea crawfish ""Palinurus spp., Panulirus spp. and Jasus spp."", whether in shell or not, incl. rock lobster and other sea crawfish in shell, cooked by steaming or by boiling in water (excl. crawfish tails)",It is assumed that lobster is traded whole  (source: Oceanic Developpement survey).  ,1.00
861/2010,2011,0306 12 10,unchanged,"Frozen lobsters ""Homarus spp."", whole, incl. lobsters in shell, cooked by steaming or by boiling in water","It is assumed that there is no loss for frozen lobsters, as glazing compensate for weight loss (source: Oceanic Developpement survey).  ",1.00
861/2010,2011,0306 12 90,unchanged,"Frozen lobsters ""Homarus spp."" (excl. whole)","It is assumed that when it is not sold whole, it is sold as tails. CF proposed is the average the CFs used for American lobster (2,70) (source: Oceanic Developpement survey).  ",2.70
861/2010,2011,0306 13 10,unchanged,"Frozen shrimps and prawns of the Pandalidae family, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water",same assumption as for 0306 16 99,1.05
861/2010,2011,0306 13 30,unchanged,"Frozen shrimps of the genus Crangon, whether in shell or not, incl. shrimps in shell, cooked by steaming or by boiling in water","Brown shrimps are small in size and are fished in the North Europe. It is assumed that brown shrimps are traded whole boild, thus CF 1,18 (source: Oceanic Developpement survey).  ",1.18
861/2010,2011,0306 13 40,unchanged,"Frozen deepwater rose shrimps ""Parapenaeus longirostris"", whether in shell or not, incl. shrimps in shell, cooked by steaming or by boiling in water",This is a big size shrimp from the Mediterranean and are marketed whole fresh or cooked (source: Oceanic Developpement survey).  ,1.00
861/2010,2011,0306 13 50,unchanged,"Frozen shrimps of the genus ""Penaeus"", whether in shell or not, incl. shrimps in shell, cooked by steaming or by boiling in water","these are shrimps from tropical farming or fishing. Big shrimps are marketed whole (75% of the trade), while small or damaged are processed as tails. The yield for tail form is 55% (CF 1,82) according to the information from processors. It is porposed an average CF for while and tail form,thus CF 1,21  (source: Oceanic Developpement survey).  ",1.21
861/2010,2011,0306 13 80,unchanged,"Frozen shrimps and prawns, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water (excl. ""Pandalidae"", ""Crangon"", deepwater rose shrimps ""Parapenaeus longirostris"" and shrimps of the genus ""Penaeus"")","In this item both small and big sizes are included. It is proposed an average CF of the four preceding items, thus CF 1,38",1.38
861/2010,2011,0306 14 10,unchanged,"Frozen crabs ""Paralithodes camchaticus, Chionoecetes spp."" and ""Callinectes sapidus"", whether in shell or not, incl. crabs in shell, cooked by steaming or by boiling in water","These species are fished in the North Atlantic by USA, Canadian and Russian fleets. These species are shelled after landing and marketed as meat. The proposed CF 4,00 is a synthesis of the CFs for various crab species (varying from 3,02 to 5,49 according to NOAA and Namibian fisheries) (source: Oceanic Developpement survey).  ",4.00
861/2010,2011,0306 14 30,unchanged,"Frozen crabs ""Cancer pagurus"", whether in shell or not, incl. crabs in shell, cooked by steaming or by boiling in water","This product is cooked and frozen whole. It is assumed that the cooking process leads to a weightloss of 15%, hence the CF of 1,15 (source: Oceanic Developpement survey).  ",1.15
861/2010,2011,0306 14 90,unchanged,"Frozen crabs, whether in shell or not, incl. crabs in shell, cooked by steaming or by boiling in water (excl. ""Paralithodes camchaticus, Chionoecetes spp."", ""Callinectes sapidus"", and ""Cancer pagurus"")","The foreign trade statistics for this category indicate that 50% is european production, and 50% comes from other countries. The european crabs are traded unshelled while crabs from third countries are shelled. The proposed CF is an average of the two previous items  (source: Oceanic Developpement survey).  ",2.58
861/2010,2011,0306 19 10,unchanged,"Frozen freshwater crayfish, whether in shell or not, incl. crayfish in shell, cooked by steaming or by boiling in water","It is assumed that 50% are traded whole (CF 1,00) and 50% as tails (CF 3,00, same as fro Norwegian lobster). The proposed Cf is an average of these two CFs.  (source: Oceanic Developpement survey).  ",2.00
861/2010,2011,0306 19 30,unchanged,"Frozen Norway lobsters ""Nephrops norvegicus"", whether in shell or not, incl. Norway lobsters in shell, cooked by steaming or by boiling in water","It is assumed that 1/3 of landings and trade is frozen tails unpeeled. The survey of 1996  indicates CF 3,00 for this form of presentation, thus an average CF is 1,67.  (source: Oceanic Developpement survey).  ",1.67
861/2010,2011,0306 19 90,unchanged,"Frozen crustaceans, fit for human consumption, whether in shell or not, incl. crustaceans in shell, cooked beforehand by steaming or by boiling in water (excl. rock lobster and other sea crawfish, lobsters, shrimps, prawns, crabs, freshwater crayfish and Norway lobsters ""Nephrops norvegicus""); frozen flours, meals, and pellets of crustaceans, fit for human consumption","The proposed Cf is an average of Cfs identified for 0306 13 80 (1,38) and 0306 14 90 (2,58)  (source: Oceanic Developpement survey).  ",1.98
861/2010,2011,0306 21 00,unchanged,"Rock lobster and other sea crawfish ""Palinurus spp., Panulirus spp. and Jasus spp."", whether in shell or not, live, fresh, chilled, dried, salted or in brine, incl. in shell, cooked by steaming or by boiling in water",It is assumed that rock lobsters that are not frozen are traded whole  (source: Oceanic Developpement survey).  ,1.00
861/2010,2011,0306 22 10,unchanged,"Live lobsters ""Homarus spp.""",Live lobsters asre traded whole  (source: Oceanic Developpement survey).  ,1.00
861/2010,2011,0306 22 91,unchanged,"Whole lobsters, fresh, chilled, dried, salted or in brine, incl. lobsters in shell, cooked by steaming or by boiling in water",Same assumption as 0306 21 00,1.00
861/2010,2011,0306 22 99,unchanged,"Parts of lobsters ""Homarus spp."" fresh, chilled, dried, salted or in brine, incl. parts of lobsters in shell, cooked by steaming or by boiling in water",It is assume that fresh lobsters which are not whole are traded as tails. Thus the proposed CF is the same as for 0306 01 10 by analogy  (source: Oceanic Developpement survey).  ,2.90
861/2010,2011,0306 23 10,unchanged,"Shrimps and prawns of the Pandalidae family, whether in shell or not, live, fresh, chilled, dried, salted or in brine, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water",It is assumed that not frozen shrimps are traded either whole raw or cooked. The coocked form is the most usual. The proposed CF takes into account 15% of weight loss during the cooking process   (source: Oceanic Developpement survey).  ,1.15
861/2010,2011,0306 23 31,unchanged,"Shrimps of the genus Crangon, whether in shell or not, fresh, chilled or cooked by steaming or by boiling in water",same assumption as for 0306 23 10,1.15
861/2010,2011,0306 23 39,unchanged,"Shrimps of the genus Crangon, whether in shell or not, live, dried, salted or in brine, incl. shrimps in shell, cooked by steaming or by boiling in water, whether or not chilled",same assumption as for 0306 23 10,1.15
861/2010,2011,0306 23 90,unchanged,"Shrimps and prawns, whether in shell or not, live, fresh, chilled, dried, salted or in brine, incl. shrimps in shell, cooked by steaming or by boiling in water (excl. ""Pandalidae"" and ""Crangon"")",same assumption as for 0306 23 10,1.15
861/2010,2011,0306 24 30,unchanged,"Crabs ""Cancer pagurus"", whether in shell or not, live, fresh, chilled, dried, salted or in brine, incl. crabs in shell, cooked by steaming or by boiling in water",It is assumed that this species are mostly traded whole and unshelled   (source: Oceanic Developpement survey).  ,1.00
861/2010,2011,0306 24 80,unchanged,"Crabs, whether in shell or not, live, fresh, chilled, dried, salted or in brine, incl. crabs in shell, cooked by steaming or by boiling in water (excl. ""Cancer pagurus"")",It is assumed that these species are traded whole when they are not frozen.  (source: Oceanic Developpement survey).  ,1.00
861/2010,2011,0306 29 10,unchanged,"Freshwater crayfish, whether in shell or not, live, fresh, chilled, dried, salted or in brine, incl. freshwater crayfish in shell, cooked by steaming or by boiling in water","As indicated in Oceanic Developpement survey, this item concerns non-frozen cruatainsians, and the use of brine for conservation seems to be exceptional. That is why it is assumed that the product is trade fresh and whole. ",1.00
861/2010,2011,0306 29 30,unchanged,"Norway lobsters ""Nephrops norvegicus"", whether in shell or not, live, fresh, chilled, dried, salted or in brine, incl. Norway lobsters in shell, cooked by steaming or by boiling in water",Same assumption as for 0306 21 00,1.00
861/2010,2011,0306 29 90,unchanged,"Crustaceans fit for human consumption, whether in shell or not, live, fresh, chilled, dried, salted or in brine, incl. crustaceans in shell, cooked beforehand by steaming or by boiling in water (excl. rock lobster and other sea crawfish, lobsters, shrimps, prawns, crabs, freshwater crayfish and Norway lobsters ""Nephrops norvegicus""); flours, meals and pellets of crustaceans, fit for human consumption (excl. frozen)",It is assumed that the maim part of the trade is whole crusteceans when they are not frozen. The other forms indicated in this item are quite rare (source: Oceanic Developpement survey).  ,1.00
861/2010,2011,0307 10 10,unchanged,"Live flat oysters ""Ostrea spp."", weighing <= 40 g each incl. shell",Same assumption as for 0301 91 10,1.00
861/2010,2011,0307 10 90,unchanged,"Oysters, live, fresh, chilled, frozen, dried, salted or in brine (excl. live flat oysters ""Ostrea spp."", weighing <= 40 g each incl. shell)","According to the information from the industry, oysters are traded mostly live, thus CF 1,00 (source: Oceanic Developpement survey).",1.00
861/2010,2011,0307 21 00,unchanged,"Live, fresh or chilled scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, with or without shell",It is assumed that these species are traded live whole unlike the frozen ones (source: Oceanic Developpement survey).,1.00
861/2010,2011,0307 29 10,unchanged,"Coquilles St. Jacques ""Pecten maximus"", with or without shell, frozen","Coquilles cannot be frozen whole. The information from IFREMER studies indicate CF 6,5, for shelled Coquilles",6.50
861/2010,2011,0307 29 90,unchanged,"Scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, frozen, dried, salted or in brine, with or without shell (excl. Coquilles St. Jacques ""Pecten maximus"")","It is assumed that mostly frozen meat of these specis are traded. Thus the proposed CF 8,66 is an average of CFs found in FAO/Eurostat publications",8.66
861/2010,2011,0307 31 10,unchanged,"Mussels ""Mytilus spp."", live, fresh or chilled, with or without shell","It is assumed that fresh mussels are traded whole, thus CF 1,00 (source: Oceanic Developpement survey)",1.00
861/2010,2011,0307 31 90,unchanged,"Mussels ""Perna spp."", live, fresh or chilled, with or without shell",Same assumption as for 0307 31 10,1.00
861/2010,2011,0307 39 10,unchanged,"Mussels ""Mytilus spp."", frozen, dried, salted or in brine, with or without shell","It is assumed that mussels are not frozen whole, but only deshelled. Thus the Oceanic Developpement survey proposed the average CF 4,50",4.50
861/2010,2011,0307 39 90,unchanged,"Mussels ""Perna spp."", frozen, dried, salted or in brine, with or without shell",Same assumption ad same proposal as for 0307 39 10,4.50
861/2010,2011,0307 41 10,unchanged,"Cuttle fish ""Sepia officinalis, Rossia macrosoma, Sepiola spp."", live, fresh or chilled, with or without shell","This product category consists of gutted unboned  but whole cattlefish or stripes (rings). CF for cleaned (gutted/deboned) is 1,38 according to the information from the industry. The CF for stripes is 1,98. Without further information on the importance of each form of presentation, the Oceanic Developpement survey proposes an average CF of 1,68",1.68
861/2010,2011,0307 41 91,unchanged,"Squid ""Loligo spp., Ommastrephes sagittatus"", live, fresh or chilled, with or without shell","Same assumption as for the previous item, with CF 1,03 for gutted loligo squid and CF 1,69 for cleaned tubes of squid. The proposed average Cf is 1,36 (source: Oceanic Developpement survey).",1.36
861/2010,2011,0307 41 99,unchanged,"Squid ""Ommastrephes spp."", ""Nototodarus spp. and Sepioteuthis spp."", live, fresh or chilled, with or without shell (excl. ""Ommastrephes Sagittatus"")",Same assumption as for 0307 41 91 ,1.36
861/2010,2011,0307 49 01,unchanged,"Frozen lesser cuttlefish ""Sepiola rondeleti"", with or without shell","This species is small in size and is usually only cleaned and cooked with tentickles. By analogy with  cuttlefishthe proposed CF is 1,38 (source: Oceanic Developpement survey).",1.38
861/2010,2011,0307 49 11,unchanged,"Frozen cuttle fish ""Sepiola"", with or without shell (excl. ""Sepiola rondeleti"")",Same assumption as for 0307 49 01,1.38
861/2010,2011,0307 49 18,unchanged,"Frozen cuttle fish ""Sepia officinalis"" and ""Rossia macrosoma"", with or without shell",The proposed CF is the same one as as for 0307 41 10 (source: Oceanic Developpement survey).,1.68
861/2010,2011,0307 49 31,unchanged,"Frozen squid ""Loligo vulgaris"", with or without shell",Same assumption as for 0307 41 91 ,1.36
861/2010,2011,0307 49 33,unchanged,"Frozen squid ""Loligo pealei"", with or without shell",Same assumption as for 0307 41 91 ,1.36
861/2010,2011,0307 49 35,unchanged,"Squid ""loligo patagonica"", frozen",Same assumption as for 0307 41 91 ,1.36
861/2010,2011,0307 49 38,unchanged,"Squid ""loligo spp."", frozen (excl. loligo vulgaris, pealei and patagonica)",Same assumption as for 0307 41 91 ,1.36
861/2010,2011,0307 49 51,unchanged,"Frozen squid ""Ommastrephes sagittatus"", with or without shell",Same assumption as for 0307 41 91 ,1.36
861/2010,2011,0307 49 59,unchanged,"Frozen squid ""Ommastrephes spp."", ""Nototodarus spp."" and ""Sepioteuthis spp."", with or without shell (excl. ""Ommastrephes Sagittatus"")",Same assumption as for 0307 41 91 ,1.36
861/2010,2011,0307 49 71,unchanged,"Cuttle fish ""Sepia officinalis, Rossia macrosoma, Sepiola spp."", dried, salted or in brine, with or without shell","This presentation form is marginal in trade. Withoutmore information on the nature of this product, it is proposed to use CF 1,33 making the assumption that this species is cleaned and in brine (source: Oceanic Developpement survey).",1.33
861/2010,2011,0307 49 91,unchanged,"Squid ""Loligo spp., Ommastrephes sagittatus"", dried, salted or in brine, with or without shell","Same assumption as for CN 0307 49 71, but with smaller weight loss linked to cleaning of squid (source: Oceanic Developpement survey).",1.25
861/2010,2011,0307 49 99,unchanged,"Squid ""Ommastrephes spp."", ""Nototodarus spp."", ""Sepioteuthis spp."", dried, salted or in brine, with or without shell (excl. ""Ommastrephes Sagittatus"")",Same as for 0307 49 71,1.25
861/2010,2011,0307 51 00,unchanged,"Live, fresh or chilled octopus ""Octopus spp."", with or without shell",It is assumed in the Oceanic Developpement survey that fresh octopus is only cleaned with weight loss of 19% due to gutting and cleaning (source: industry in Mauritania),1.23
861/2010,2011,0307 59 10,unchanged,"Frozen octopus ""Octopus spp."", with or without shell","It is assumed that frozen octopus is cleaned and beaten before freezing. The proposed CF 1,28 is used in Mauritania (source: Oceanic Developpement survey).",1.28
861/2010,2011,0307 59 90,unchanged,"Octopus ""Octopus spp."" dried, salted or in brine, with or without shell",This is a very rare preparation form. Without further info it is proposed to use the same CF as for the previous item 0307 5910 (source: Oceanic Developpement survey).,1.28
861/2010,2011,0307 91 00,unchanged,"Live, fresh or chilled molluscs, fit for human consumption, whether in shell or not, incl. sea urchins, sea cucumbers and other aquatic invertebrates (other than crustaceans); fresh or chilled flours, meals and pellets of aquatic invertebrates (other than crustaceans), fit for human consumption (excl. oysters, queen scallops, queen scallops of the genera Pecten, Chlamys or Placopecten, mussels ""Mytilus spp., Perna spp."", cuttle fish ""Sepia officinalis, Rossia macrosoma, Sepiola spp."", squid ""Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp."", octopus ""Octopus spp."" and snails other than sea snails)","It is assumed that these species are traded predominantly whole, thus CF 1,00 (source: Oceanic Developpement survey).",1.00
861/2010,2011,0307 99 11,unchanged,"""Illex spp."", with or without shell, frozen",Illex squid is very similar to Loligo. Thus the proposed CF is the same as for 0307 49 38  (source: Oceanic Developpement survey).,1.36
861/2010,2011,0307 99 13,unchanged,"Striped venus and other ""Veneridae"", with or without shell, frozen","It is assumed that frozen veneridae are traded mainly without shells. Tory research of 1989 proposes yield of 18% wich gives CF of 5,56  (source: Oceanic Developpement survey).",5.56
861/2010,2011,0307 99 15,unchanged,"Frozen jellyfish ""Rhopilema spp.""","It is assumed that  jellyfish is frozen wholewhole, thus CF 1,00 (source: Oceanic Developpement survey).",1.00
861/2010,2011,0307 99 18,unchanged,"Frozen molluscs, fit for human consumption, whether in shell or not, incl. sea urchins, sea cucumbers and other aquatic invertebrates (other than crustaceans); frozen flours, meals and pellets of aquatic invertebrates (other than crustaceans), fit for human consumption (excl. oysters, queen scallops, queen scallops of the genera Pecten, Chlamys or Placopecten, mussels ""Mytilus spp., Perna spp."", cuttle fish ""Sepia officinalis, Rossia macrosoma, Sepiola spp."", squid ""Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp."", octopus ""Octopus spp."" and snails other than sea snails, Illex spp., clams and other molluscs of the family Veneridae and jellyfish ""Rhopilema spp."")","It is assumed that  these species are  traded mostly whole. Thus CF 1,00 (source: Oceanic Developpement survey).",1.00
861/2010,2011,0307 99 90,unchanged,"Molluscs, fit for human consumption, whether in shell or not, dried, salted or in brine, incl. sea urchins, sea cucumbers and other aquatic invertebrates (other than crustaceans); flours, meals and pellets of aquatic invertebrates (other than crustaceans), fit for human consumption (excl. fresh, chilled or frozen, oysters, queen scallops, queen scallops of the genera Pecten, Chlamys or Placopecten, mussels ""Mytilus spp., Perna spp."", cuttle fish ""Sepia officinalis, Rossia macrosoma, Sepiola spp."", squid ""Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp."", octopus ""Octopus spp."" and snails other than sea snails)","This iem includes dried Holothuries for which the Southerne Pacific Commission proposes yield of 10% from live weight to dry cleaned weight. We assume that other species in this item are traded whole, cleaned in brine. the proposed CF is 5,00 (source: Oceanic Developpement survey).",5.00
861/2010,2011,0511 91 10,unchanged,"Fish waste, not for human consumption","Fish waste - not for human consumption, thus CF 0,00",0.00
861/2010,2011,0511 91 90,unchanged,"Crustaceans, molluscs or other aquatic invertebrates, not for human consumption","By categorisation defined  as not for human consumption, thus CF 0,00",0.00
861/2010,2011,1212 20 00,split,"Seaweeds and other algae, fresh, chilled, frozen or dried, whether or not ground","By categorisation defined  as not for human consumption, thus CF 0,00",0.00
861/2010,2011,1504 10 10,unchanged, Fish-liver oils and their fractions:– – Of a vitamin A content not exceeding 2 500 International Units per gram ,"Fish-oil products are considered as by-products. To avoid double counting, by-products should be excluded from the calculation to live weight, or seen in relation to CN8-codes anticipated to cover the main-product. Thus CF 0,00. ",0.00
861/2010,2011,1504 10 91,unchanged,Fish-liver oils and their fractions: – – other: – – – Of halibut ,"Fish-oil products are considered as by-products. To avoid double counting, by-products should be excluded from the calculation to live weight, or seen in relation to CN8-codes anticipated to cover the main-product. Thus CF 0,00. ",0.00
861/2010,2011,1504 10 99,unchanged,Fish-liver oils and their fractions: – – other: – – – other,"Fish-oil products are considered as by-products. To avoid double counting, by-products should be excluded from the calculation to live weight, or seen in relation to CN8-codes anticipated to cover the main-product. Thus CF 0,00. ",0.00
861/2010,2011,1504 20 10,unchanged,"– Fats and oils and their fractions, of fish, other than liver oils: – – Solid fractions ","Fish-oil products are considered as by-products. To avoid double counting, by-products should be excluded from the calculation to live weight, or seen in relation to CN8-codes anticipated to cover the main-product. Thus CF 0,00. ",0.00
861/2010,2011,1504 20 90,unchanged,"– Fats and oils and their fractions, of fish, other than liver oils: – – Other","Fish-oil products are considered as by-products. To avoid double counting, by-products should be excluded from the calculation to live weight, or seen in relation to CN8-codes anticipated to cover the main-product. Thus CF 0,00. ",0.00
861/2010,2011,1504 30 10,unchanged,"– Fats and oils and their fractions, of marine mammals:– – Solid fractions ","Fish-oil products are considered as by-products. To avoid double counting, by-products should be excluded from the calculation to live weight, or seen in relation to CN8-codes anticipated to cover the main-product. Thus CF 0,00. ",0.00
861/2010,2011,1504 30 90,unchanged,"– Fats and oils and their fractions, of marine mammals: – – Other","Fish-oil products are considered as by-products. To avoid double counting, by-products should be excluded from the calculation to live weight, or seen in relation to CN8-codes anticipated to cover the main-product. Thus CF 0,00. ",0.00
861/2010,2011,1603 00 10,unchanged,"Extracts and juices of  fish or crustaceans, molluscs or other aquatic invertebrates:- In immediate packings of a net content of 1 kg or less","Considered to be primarily consisting of by-products from fish-, crustaceans- or molluscs-products, where main product's CF is already accounting for by-product share. To avoid double counting, by-products should be excluded from the calculation to live weight, or seen in relation to CN8-codes anticipated to cover the main-product. Thus CF 0,00. ",0.00
861/2010,2011,1603 00 80,unchanged,"Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates: - other","Considered to be primarily consisting of by-products from fish-, crustaceans- or molluscs-products, where main product's CF is already accounting for by-product share. To avoid double counting, by-products should be excluded from the calculation to live weight, or seen in relation to CN8-codes anticipated to cover the main-product. Thus CF 0,00. ",0.00
861/2010,2011,1604 11 00,unchanged,"Prepared or preserved salmon, whole or in pieces (excl. minced)","The USA industry reports indicate a yield between 67% (Sockeye) and 65% (Pink) for round salmon. The proposed average CF is thererfor 1,52",1.52
861/2010,2011,1604 12 10,unchanged,"Fillets of herring, raw, merely coated with butter or breadcrumbs, whether or not pre-fried in oil, frozen","The propsoed CF is the same as for 03042075 (2,05), corrected with tolerance of 20% for the weight of bread cramps (2,05*80%=1,64) (source: Oceanic Developpement survey).",1.64
861/2010,2011,1604 12 91,unchanged,"Herrings, prepared or preserved, whole or in pieces, in airtight containers (excl. minced herrings and herring fillets, raw, merely coated with batter or breadcrumbs, whether or not pre-fried in oil, frozen)","this item includes misceleneous products such as marinates which are semi-preserved herring or herring canned in sause. the information on products like rollmops indicate that the weight of herring in can is between 60-70% (average 65%). These products are made from herring fillets for which CF 2,05 was proposed in 0304 20 75. Thus the CF proposed is 2,05*65%=1,33 (source: Oceanic Developpement survey).",1.33
861/2010,2011,1604 12 99,unchanged,"Herrings, prepared or preserved, whole or in pieces (excl. minced herrings and herring fillets, raw, merely coated with batter or breadcrumbs, whether or not pre-fried in oil, frozen and in airtight containers)",Same assumption as  for 16 04 12 91,1.33
861/2010,2011,1604 13 11,unchanged,"Sardines, prepared or preserved, whole or in pieces, in olive oil (excl. minced sardines)","Some technical data indicate that we need 2,94 of whole sardine to get 1 kg of meat in can, hence CF 2,94 . The net weight of can (1/6) is 120g for net weight of 85gr which means 71% of fish. CF proposed 2,94*71%=2,09 (source: Oceanic Developpement survey).",2.09
861/2010,2011,1604 13 19,unchanged,"Sardines, prepared or preserved, whole or in pieces (excl. minced sardines and sardines in olive oil)",Same assumption as for 1604 13 11,2.09
861/2010,2011,1604 13 90,unchanged,"Prepared or preserved sardinella, brisling or sprats, whole or in pieces (excl. minced)","Sardinella has better yield than sardine. We need about 2,64 kg of sardinella to get 1 kg of meat. In the case of 1/2 high can the net weight of fish (290 gr) represents 71% of total net weight (410 gr) and represents CF of 1,87  (source: Oceanic Developpement survey).",1.87
